Nazwa,Lokalizacja,Paliwo,Rok,Cena,Przebieg,Pojemnosc,marka,model
BMW Seria 3 318d DPF Touring,Gliwice,Diesel,2010,23700,238000,1995,BMW,Seria 3
Dodge Challenger,Nowy Sącz,Benzyna,2015,115000,131966,5654,Dodge,0
MINI Cooper,Kalisz,Benzyna,2001,9499,239000,1598,MINI,0
Mercedes-Benz CLA 200 d AMG Line 8G-DCT,Izbiska,Diesel,2022,95900,50000,1950,Mercedes-Benz,0
Ford Sierra 2.3 D GL,Rzeszów,Diesel,1986,18900,55000,2304,Ford,0
Mitsubishi Carisma 1.8 GDI Comfort,Kielce,Benzyna,2001,2500,269000,1834,Mitsubishi,Carisma
Hyundai I30 1.0 T-GDI Smart,Warszawa,Benzyna,2022,89600,1,998,Smart,0
Renault Clio 1.2 16V Alize,Szczerców,Benzyna,2014,29000,103700,1149,Renault,Clio
Chevrolet Lacetti 1.4 Elite WTCC,Ożarów Mazowiecki,Benzyna,2005,7500,142002,1399,Chevrolet,Lacetti
Nissan Qashqai 1.5 dCi Tekna,Łajski,Diesel,2016,62900,157343,1461,Nissan,Qashqai
